maGD|thoiGian|loaiGD|soTien|soTKGui|soTKNhan
GD149|31/03/2022 23:59|LAI|45044|NGAN_HANG|508986577
GD150|30/04/2022 23:59|LAI|42365|NGAN_HANG|508986577
GD151|31/05/2022 23:59|LAI|48270|NGAN_HANG|508986577
GD152|30/06/2022 23:59|LAI|47495|NGAN_HANG|508986577
GD153|31/07/2022 23:59|LAI|49240|NGAN_HANG|508986577
GD154|31/08/2022 23:59|LAI|49407|NGAN_HANG|508986577
GD155|30/09/2022 23:59|LAI|49593|NGAN_HANG|508986577
GD156|31/10/2022 23:59|LAI|55316|NGAN_HANG|508986577
GD157|30/11/2022 23:59|LAI|53713|NGAN_HANG|508986577
GD158|31/12/2022 23:59|LAI|55686|NGAN_HANG|508986577
GD159|31/01/2023 23:59|LAI|55875|NGAN_HANG|508986577
GD160|28/02/2023 23:59|LAI|50639|NGAN_HANG|508986577
GD161|31/03/2023 23:59|LAI|56237|NGAN_HANG|508986577
GD162|30/04/2023 23:59|LAI|54608|NGAN_HANG|508986577
GD163|31/05/2023 23:59|LAI|56614|NGAN_HANG|508986577
GD164|30/06/2023 23:59|LAI|54974|NGAN_HANG|508986577
GD165|31/07/2023 23:59|LAI|56993|NGAN_HANG|508986577
GD166|31/08/2023 23:59|LAI|57186|NGAN_HANG|508986577
GD167|30/09/2023 23:59|LAI|50884|NGAN_HANG|508986577
GD168|31/10/2023 23:59|LAI|50695|NGAN_HANG|508986577
GD169|30/11/2023 23:59|LAI|49227|NGAN_HANG|508986577
GD170|31/12/2023 23:59|LAI|51035|NGAN_HANG|508986577
GD171|31/01/2024 23:59|LAI|51208|NGAN_HANG|508986577
GD172|29/02/2024 23:59|LAI|48067|NGAN_HANG|508986577
GD173|31/03/2024 23:59|LAI|51545|NGAN_HANG|508986577
GD174|30/04/2024 23:59|LAI|50052|NGAN_HANG|508986577
GD175|31/05/2024 23:59|LAI|51891|NGAN_HANG|508986577
GD176|30/06/2024 23:59|LAI|50387|NGAN_HANG|508986577
GD177|31/07/2024 23:59|LAI|52238|NGAN_HANG|508986577
GD178|31/08/2024 23:59|LAI|52416|NGAN_HANG|508986577
GD179|30/09/2024 23:59|LAI|50897|NGAN_HANG|508986577
GD180|31/10/2024 23:59|LAI|52767|NGAN_HANG|508986577
GD181|30/11/2024 23:59|LAI|51238|NGAN_HANG|508986577
GD182|31/12/2024 23:59|LAI|53120|NGAN_HANG|508986577
GD183|31/01/2025 23:59|LAI|53300|NGAN_HANG|508986577
GD184|28/02/2025 23:59|LAI|48306|NGAN_HANG|508986577
GD185|31/03/2025 23:59|LAI|53646|NGAN_HANG|508986577
GD186|30/04/2025 23:59|LAI|52091|NGAN_HANG|508986577
GD187|31/05/2025 23:59|LAI|54005|NGAN_HANG|508986577
GD188|30/06/2025 23:59|LAI|52440|NGAN_HANG|508986577
GD189|31/07/2025 23:59|LAI|54366|NGAN_HANG|508986577
GD190|31/08/2025 23:59|LAI|54551|NGAN_HANG|508986577
GD191|30/09/2025 23:59|LAI|52971|NGAN_HANG|508986577
GD192|31/10/2025 23:59|LAI|54916|NGAN_HANG|508986577
GD193|30/11/2025 23:59|LAI|53325|NGAN_HANG|508986577
GD194|31/12/2025 23:59|LAI|55284|NGAN_HANG|508986577
GD195|31/01/2026 23:59|LAI|55472|NGAN_HANG|508986577
GD196|28/02/2026 23:59|LAI|50274|NGAN_HANG|508986577
GD197|31/03/2026 23:59|LAI|55831|NGAN_HANG|508986577
GD198|30/04/2026 23:59|LAI|54214|NGAN_HANG|508986577
GD199|31/05/2026 23:59|LAI|56205|NGAN_HANG|508986577
GD200|30/06/2025 23:59|LAI|6066|NGAN_HANG|453394190
GD201|31/07/2025 23:59|LAI|18826|NGAN_HANG|453394190
GD202|31/08/2025 23:59|LAI|18890|NGAN_HANG|453394190
GD203|30/09/2025 23:59|LAI|32111|NGAN_HANG|453394190
GD204|31/10/2025 23:59|LAI|34871|NGAN_HANG|453394190
GD205|30/11/2025 23:59|LAI|33861|NGAN_HANG|453394190
GD206|31/12/2025 23:59|LAI|35104|NGAN_HANG|453394190
GD207|31/01/2026 23:59|LAI|35224|NGAN_HANG|453394190
GD208|28/02/2026 23:59|LAI|31923|NGAN_HANG|453394190
GD209|31/03/2026 23:59|LAI|35452|NGAN_HANG|453394190
GD210|30/04/2026 23:59|LAI|34425|NGAN_HANG|453394190
GD211|31/05/2026 23:59|LAI|35689|NGAN_HANG|453394190
GD212|28/02/2023 23:59|LAI|97708|NGAN_HANG|463010441
GD213|31/03/2023 23:59|LAI|132026|NGAN_HANG|463010441
GD214|30/04/2023 23:59|LAI|128201|NGAN_HANG|463010441
GD215|31/05/2023 23:59|LAI|132910|NGAN_HANG|463010441
GD216|30/06/2023 23:59|LAI|129059|NGAN_HANG|463010441
GD217|31/07/2023 23:59|LAI|133800|NGAN_HANG|463010441
GD218|31/08/2023 23:59|LAI|134254|NGAN_HANG|463010441
GD219|30/09/2023 23:59|LAI|130365|NGAN_HANG|463010441
GD220|31/10/2023 23:59|LAI|135153|NGAN_HANG|463010441
GD221|30/11/2023 23:59|LAI|131238|NGAN_HANG|463010441
GD222|31/12/2023 23:59|LAI|136058|NGAN_HANG|463010441
GD223|31/01/2024 23:59|LAI|136520|NGAN_HANG|463010441
GD224|29/02/2024 23:59|LAI|128146|NGAN_HANG|463010441
GD225|31/03/2024 23:59|LAI|137420|NGAN_HANG|463010441
GD226|30/04/2024 23:59|LAI|133438|NGAN_HANG|463010441
GD227|31/05/2024 23:59|LAI|138340|NGAN_HANG|463010441
GD228|30/06/2024 23:59|LAI|134332|NGAN_HANG|463010441
GD229|31/07/2024 23:59|LAI|139266|NGAN_HANG|463010441
GD230|31/08/2024 23:59|LAI|139739|NGAN_HANG|463010441
GD231|30/09/2024 23:59|LAI|135691|NGAN_HANG|463010441
GD232|31/10/2024 23:59|LAI|140675|NGAN_HANG|463010441
GD233|30/11/2024 23:59|LAI|136599|NGAN_HANG|463010441
GD234|31/12/2024 23:59|LAI|141617|NGAN_HANG|463010441
GD235|31/01/2025 23:59|LAI|142098|NGAN_HANG|463010441
GD236|28/02/2025 23:59|LAI|128783|NGAN_HANG|463010441
GD237|31/03/2025 23:59|LAI|143018|NGAN_HANG|463010441
GD238|30/04/2025 23:59|LAI|138875|NGAN_HANG|463010441
GD239|31/05/2025 23:59|LAI|143976|NGAN_HANG|463010441
GD240|30/06/2025 23:59|LAI|139805|NGAN_HANG|463010441
GD241|31/07/2025 23:59|LAI|144940|NGAN_HANG|463010441
GD242|31/08/2025 23:59|LAI|145432|NGAN_HANG|463010441
GD243|30/09/2025 23:59|LAI|141219|NGAN_HANG|463010441
GD244|31/10/2025 23:59|LAI|146406|NGAN_HANG|463010441
GD245|30/11/2025 23:59|LAI|142094|NGAN_HANG|463010441
GD246|31/12/2025 23:59|LAI|146655|NGAN_HANG|463010441
GD247|31/01/2026 23:59|LAI|147154|NGAN_HANG|463010441
GD248|28/02/2026 23:59|LAI|133364|NGAN_HANG|463010441
GD249|31/03/2026 23:59|LAI|148107|NGAN_HANG|463010441
GD250|30/04/2026 23:59|LAI|143816|NGAN_HANG|463010441
GD251|31/05/2026 23:59|LAI|149098|NGAN_HANG|463010441
GD252|30/06/2023 23:59|LAI|16812|NGAN_HANG|159072787
GD253|31/07/2023 23:59|LAI|74512|NGAN_HANG|159072787
GD254|31/08/2023 23:59|LAI|74765|NGAN_HANG|159072787
GD255|30/09/2023 23:59|LAI|77245|NGAN_HANG|159072787
GD256|31/10/2023 23:59|LAI|82140|NGAN_HANG|159072787
GD257|30/11/2023 23:59|LAI|79760|NGAN_HANG|159072787
GD258|31/12/2023 23:59|LAI|82690|NGAN_HANG|159072787
GD259|31/01/2024 23:59|LAI|82971|NGAN_HANG|159072787
GD260|29/02/2024 23:59|LAI|77881|NGAN_HANG|159072787
GD261|31/03/2024 23:59|LAI|83517|NGAN_HANG|159072787
GD262|30/04/2024 23:59|LAI|81098|NGAN_HANG|159072787
GD263|31/05/2024 23:59|LAI|84076|NGAN_HANG|159072787
GD264|30/06/2024 23:59|LAI|81641|NGAN_HANG|159072787
GD265|31/07/2024 23:59|LAI|95723|NGAN_HANG|159072787
GD266|31/08/2024 23:59|LAI|97690|NGAN_HANG|159072787
GD267|30/09/2024 23:59|LAI|94860|NGAN_HANG|159072787
GD268|31/10/2024 23:59|LAI|98344|NGAN_HANG|159072787
GD269|30/11/2024 23:59|LAI|95495|NGAN_HANG|159072787
GD270|31/12/2024 23:59|LAI|99002|NGAN_HANG|159072787
GD271|31/01/2025 23:59|LAI|99339|NGAN_HANG|159072787
GD272|28/02/2025 23:59|LAI|90030|NGAN_HANG|159072787
GD273|31/03/2025 23:59|LAI|99982|NGAN_HANG|159072787
GD274|30/04/2025 23:59|LAI|97085|NGAN_HANG|159072787
GD275|31/05/2025 23:59|LAI|100652|NGAN_HANG|159072787
GD276|30/06/2025 23:59|LAI|97736|NGAN_HANG|159072787
GD277|31/07/2025 23:59|LAI|101325|NGAN_HANG|159072787
GD278|31/08/2025 23:59|LAI|101670|NGAN_HANG|159072787
GD279|30/09/2025 23:59|LAI|98724|NGAN_HANG|159072787
GD280|31/10/2025 23:59|LAI|102350|NGAN_HANG|159072787
GD281|30/11/2025 23:59|LAI|99385|NGAN_HANG|159072787
GD282|31/12/2025 23:59|LAI|103036|NGAN_HANG|159072787
GD283|31/01/2026 23:59|LAI|103386|NGAN_HANG|159072787
GD284|28/02/2026 23:59|LAI|93698|NGAN_HANG|159072787
GD285|31/03/2026 23:59|LAI|104055|NGAN_HANG|159072787
GD286|30/04/2026 23:59|LAI|101041|NGAN_HANG|159072787
GD287|31/05/2026 23:59|LAI|104752|NGAN_HANG|159072787
GD288|31/12/2021 23:59|LAI|33925|NGAN_HANG|554849735
GD289|31/01/2022 23:59|LAI|55467|NGAN_HANG|554849735
GD290|28/02/2022 23:59|LAI|50270|NGAN_HANG|554849735
GD291|31/03/2022 23:59|LAI|55827|NGAN_HANG|554849735
GD292|30/04/2022 23:59|LAI|45209|NGAN_HANG|554849735
GD293|31/05/2022 23:59|LAI|39758|NGAN_HANG|554849735
GD294|30/06/2022 23:59|LAI|38607|NGAN_HANG|554849735
GD295|31/07/2022 23:59|LAI|40025|NGAN_HANG|554849735
GD296|31/08/2022 23:59|LAI|40161|NGAN_HANG|554849735
GD297|30/09/2022 23:59|LAI|39340|NGAN_HANG|554849735
GD298|31/10/2022 23:59|LAI|42200|NGAN_HANG|554849735
GD299|30/11/2022 23:59|LAI|40978|NGAN_HANG|554849735
GD300|31/12/2022 23:59|LAI|42483|NGAN_HANG|554849735
GD301|31/01/2023 23:59|LAI|42627|NGAN_HANG|554849735
GD302|28/02/2023 23:59|LAI|38633|NGAN_HANG|554849735
GD303|31/03/2023 23:59|LAI|42903|NGAN_HANG|554849735
GD304|30/04/2023 23:59|LAI|41660|NGAN_HANG|554849735
GD305|31/05/2023 23:59|LAI|43191|NGAN_HANG|554849735
GD306|30/06/2023 23:59|LAI|41939|NGAN_HANG|554849735
GD307|31/07/2023 23:59|LAI|43480|NGAN_HANG|554849735
GD308|31/08/2023 23:59|LAI|43628|NGAN_HANG|554849735
GD309|30/09/2023 23:59|LAI|41216|NGAN_HANG|554849735
GD310|31/10/2023 23:59|LAI|32060|NGAN_HANG|554849735
GD311|30/11/2023 23:59|LAI|31131|NGAN_HANG|554849735
GD312|31/12/2023 23:59|LAI|32274|NGAN_HANG|554849735
GD313|31/01/2024 23:59|LAI|32384|NGAN_HANG|554849735
GD314|29/02/2024 23:59|LAI|30398|NGAN_HANG|554849735
GD315|31/03/2024 23:59|LAI|32597|NGAN_HANG|554849735
GD316|30/04/2024 23:59|LAI|31653|NGAN_HANG|554849735
GD317|31/05/2024 23:59|LAI|32816|NGAN_HANG|554849735
GD318|30/06/2024 23:59|LAI|31865|NGAN_HANG|554849735
GD319|31/07/2024 23:59|LAI|33035|NGAN_HANG|554849735
GD320|31/08/2024 23:59|LAI|30463|NGAN_HANG|554849735
GD321|30/09/2024 23:59|LAI|18753|NGAN_HANG|554849735
GD322|31/10/2024 23:59|LAI|19442|NGAN_HANG|554849735
GD323|30/11/2024 23:59|LAI|18879|NGAN_HANG|554849735
GD324|31/12/2024 23:59|LAI|19572|NGAN_HANG|554849735
GD325|31/01/2025 23:59|LAI|19639|NGAN_HANG|554849735
GD326|28/02/2025 23:59|LAI|17798|NGAN_HANG|554849735
GD327|31/03/2025 23:59|LAI|19227|NGAN_HANG|554849735
GD328|30/04/2025 23:59|LAI|15148|NGAN_HANG|554849735
GD329|31/05/2025 23:59|LAI|15705|NGAN_HANG|554849735
GD330|30/06/2025 23:59|LAI|15250|NGAN_HANG|554849735
GD331|31/07/2025 23:59|LAI|15810|NGAN_HANG|554849735
GD332|31/08/2025 23:59|LAI|15863|NGAN_HANG|554849735
GD333|30/09/2025 23:59|LAI|22435|NGAN_HANG|554849735
GD334|31/10/2025 23:59|LAI|28103|NGAN_HANG|554849735
GD335|30/11/2025 23:59|LAI|27289|NGAN_HANG|554849735
GD336|31/12/2025 23:59|LAI|28291|NGAN_HANG|554849735
GD337|31/01/2026 23:59|LAI|28387|NGAN_HANG|554849735
GD338|28/02/2026 23:59|LAI|25727|NGAN_HANG|554849735
GD339|31/03/2026 23:59|LAI|28571|NGAN_HANG|554849735
GD340|30/04/2026 23:59|LAI|27744|NGAN_HANG|554849735
GD341|31/05/2026 23:59|LAI|28763|NGAN_HANG|554849735
GD342|31/01/2020 23:59|LAI|23043|NGAN_HANG|283364411
GD343|29/02/2020 23:59|LAI|60824|NGAN_HANG|283364411
GD344|31/03/2020 23:59|LAI|65226|NGAN_HANG|283364411
GD345|30/04/2020 23:59|LAI|63336|NGAN_HANG|283364411
GD346|31/05/2020 23:59|LAI|65662|NGAN_HANG|283364411
GD347|30/06/2020 23:59|LAI|63760|NGAN_HANG|283364411
GD348|31/07/2020 23:59|LAI|66102|NGAN_HANG|283364411
GD349|31/08/2020 23:59|LAI|66327|NGAN_HANG|283364411
GD350|30/09/2020 23:59|LAI|64405|NGAN_HANG|283364411
GD351|31/10/2020 23:59|LAI|66771|NGAN_HANG|283364411
GD352|30/11/2020 23:59|LAI|64836|NGAN_HANG|283364411
GD353|31/12/2020 23:59|LAI|67218|NGAN_HANG|283364411
GD354|31/01/2021 23:59|LAI|69921|NGAN_HANG|283364411
GD355|28/02/2021 23:59|LAI|64198|NGAN_HANG|283364411
GD356|31/03/2021 23:59|LAI|71294|NGAN_HANG|283364411
GD357|30/04/2021 23:59|LAI|69229|NGAN_HANG|283364411
GD358|31/05/2021 23:59|LAI|79281|NGAN_HANG|283364411
GD359|30/06/2021 23:59|LAI|82232|NGAN_HANG|283364411
GD360|31/07/2021 23:59|LAI|85252|NGAN_HANG|283364411
GD361|31/08/2021 23:59|LAI|85542|NGAN_HANG|283364411
GD362|30/09/2021 23:59|LAI|83064|NGAN_HANG|283364411
GD363|31/10/2021 23:59|LAI|86115|NGAN_HANG|283364411
GD364|30/11/2021 23:59|LAI|83620|NGAN_HANG|283364411
GD365|31/12/2021 23:59|LAI|86691|NGAN_HANG|283364411
GD366|31/01/2022 23:59|LAI|86986|NGAN_HANG|283364411
GD367|28/02/2022 23:59|LAI|78835|NGAN_HANG|283364411
GD368|31/03/2022 23:59|LAI|87549|NGAN_HANG|283364411
GD369|30/04/2022 23:59|LAI|85013|NGAN_HANG|283364411
GD370|31/05/2022 23:59|LAI|88136|NGAN_HANG|283364411
GD371|30/06/2022 23:59|LAI|85582|NGAN_HANG|283364411
GD372|31/07/2022 23:59|LAI|88726|NGAN_HANG|283364411
GD373|31/08/2022 23:59|LAI|89027|NGAN_HANG|283364411
GD374|30/09/2022 23:59|LAI|86448|NGAN_HANG|283364411
GD375|31/10/2022 23:59|LAI|89623|NGAN_HANG|283364411
GD376|30/11/2022 23:59|LAI|87027|NGAN_HANG|283364411
GD377|31/12/2022 23:59|LAI|90223|NGAN_HANG|283364411
GD378|31/01/2023 23:59|LAI|90530|NGAN_HANG|283364411
GD379|28/02/2023 23:59|LAI|82047|NGAN_HANG|283364411
GD380|31/03/2023 23:59|LAI|91116|NGAN_HANG|283364411
GD381|30/04/2023 23:59|LAI|88477|NGAN_HANG|283364411
GD382|31/05/2023 23:59|LAI|91726|NGAN_HANG|283364411
GD383|30/06/2023 23:59|LAI|89069|NGAN_HANG|283364411
GD384|31/07/2023 23:59|LAI|92341|NGAN_HANG|283364411
GD385|31/08/2023 23:59|LAI|92654|NGAN_HANG|283364411
GD386|30/09/2023 23:59|LAI|89970|NGAN_HANG|283364411
GD387|31/10/2023 23:59|LAI|93275|NGAN_HANG|283364411
GD388|30/11/2023 23:59|LAI|90572|NGAN_HANG|283364411
GD389|31/12/2023 23:59|LAI|93899|NGAN_HANG|283364411
GD390|31/01/2024 23:59|LAI|94218|NGAN_HANG|283364411
GD391|29/02/2024 23:59|LAI|88439|NGAN_HANG|283364411
GD392|31/03/2024 23:59|LAI|93896|NGAN_HANG|283364411
GD393|30/04/2024 23:59|LAI|88048|NGAN_HANG|283364411
GD394|31/05/2024 23:59|LAI|91282|NGAN_HANG|283364411
GD395|30/06/2024 23:59|LAI|88637|NGAN_HANG|283364411
GD396|31/07/2024 23:59|LAI|91893|NGAN_HANG|283364411
GD397|31/08/2024 23:59|LAI|92205|NGAN_HANG|283364411
GD398|30/09/2024 23:59|LAI|89534|NGAN_HANG|283364411
GD399|31/10/2024 23:59|LAI|92822|NGAN_HANG|283364411
GD400|30/11/2024 23:59|LAI|90133|NGAN_HANG|283364411
GD401|31/12/2024 23:59|LAI|93444|NGAN_HANG|283364411
